,A,mu,sigma,unique_id
mcr-1.335,0.0556598909292443,87.82889624447789,2.5846546882731483,61.0
mcr-1.336,0.0554721265511715,88.35125091187139,2.485067929761693,61.0
mcr-1.337,0.0602967558324934,87.60412509084955,2.4066509801419143,61.0
mcr-1.338,0.0625791218063153,87.75806213649749,2.3946249319681314,61.0
mcr-1.339,0.0652079444896631,87.52683152565722,2.347420213583609,61.0
mcr-1.340,0.0604220970554029,87.62709686654567,2.3003310015474563,61.0
mcr-1.341,0.0724994133867648,87.75107729759173,2.3626862288736685,61.0
mcr-1.342,0.0707803906508693,87.47097143416613,2.3592093454728023,61.0
mcr-1.343,0.0579690314413725,87.9181784478042,2.476257622796624,61.0
mcr-1.344,0.0582018627662414,88.41007633971772,2.339136014588532,61.0
mcr-1.345,0.0688065243153695,87.2515983996848,2.377850847427454,61.0
mcr-1.346,0.0710532093013791,87.27857840251603,2.3031692804526003,61.0
mcr-1.347,0.0637860482242116,87.24811215083963,2.3658969473298788,61.0
mcr-1.348,0.0694364587567458,87.3733897363614,2.3502130030107207,61.0
mcr-1.349,0.0626847709754459,87.24939333366251,2.3825993012703024,61.0
mcr-1.350,0.0716743069740546,87.33676273881926,2.334120366611072,61.0
mcr-1.351,0.0645919676614972,87.38619676696891,2.4325609581719143,61.0
mcr-1.353,0.0676306098623357,87.3656794521727,2.3651468000004017,61.0
mcr-1.354,0.0719799757463306,87.35080750817961,2.3440849960338954,61.0
mcr-1.355,0.0807085787503556,87.11573503293931,2.0718290296865285,61.0
mcr-1.356,0.067575089905985,87.18405585185332,2.499368733600395,61.0
mcr-1.357,0.0774972520978055,87.18863277783069,2.211481670867089,61.0
mcr-1.358,0.0634946057429342,87.3983477268254,2.46906911134391,61.0
mcr-1.359,0.0708739850754164,87.38115745137576,2.23957928160928,61.0
mcr-1.360,0.0720320683643484,87.54602657802467,2.296309418268576,61.0
mcr-1.361,0.0654231614005056,87.14695232282855,2.483975735088349,61.0
mcr-1.362,0.0729880710043651,87.42864047081657,2.316569819389667,61.0
mcr-1.363,0.069406836972014,87.34367925435456,2.435378047604638,61.0
mcr-1.364,0.0647545280131961,87.28375889931844,2.5847451529184235,61.0
mcr-1.365,0.0671060535194553,87.2957383279958,2.543969109528074,61.0
mcr-1.366,0.0639171206524176,87.11662787077951,2.5196647870412137,61.0
mcr-1.367,0.0588006109212162,87.21756719484002,2.5759781245042523,61.0
mcr-1.368,0.0636998432894493,87.15375869925464,2.650046657268815,61.0
mcr-1.369,0.0762410798937862,87.24561829062141,2.192140363736643,61.0
mcr-1.370,0.0726542587599083,87.31627272828578,2.2266079796936835,61.0
mcr-1.371,0.0699994986421942,87.28554338131127,2.3913685050444435,61.0
